Word,Score
17.4.1,4089.2320992677965
bbc.co.uk,4082.053046035391
"2,332.97",3981.1556485201822
07.09.23,3872.4285402394908
"2,431.29",3648.7813795624534
"985-18,370ft",3521.1550568579783
release.nineteen-year-old,3493.089692813856
"2,000-pound",3432.4803654172024
self-defence.judge,3404.0590059154083
contract.mercury-nominated,3397.0401112784734
al-thawabta.unwa,3389.8191657414313
south-west.the,3385.8703862509387
al-shifa.during,3376.683312595905
harrison-murray.hay,3376.441629946702
june.pro-palestinian,3372.326825209405
al-sultan.it,3365.7034541731564
uninhabitable.until,3321.6999612671725
occurrence.unicef,3319.3471735683975
87-minute-long,3317.929870740037
continues.republicans,3315.0336382064106
building.although,3312.0242031242883
suburb.tension,3307.914717576436
upfront.previous,3306.369382805387
roundabout.satellite,3299.493242583028
debuts.uklfi,3299.493242583028
infrastructure.employees,3299.3482656514475
infrastructure.since,3296.2870145249085
infrastructure.the,3295.288597233984
cyprus.but,3293.6266061885012
resolution.but,3291.9734791629216
tunnel.about,3291.9734791629216
supplies.but,3291.9734791629216
result.but,3291.9734791629216
funding.but,3290.0644862787913
added.throughout,3289.575801790941
understood.abdur,3289.168093894934
bureau.as,3289.168093894934
unhurt.fellow,3287.012099172156
furniture.he,3286.115706788299
future.jake,3282.655611785656
infrastructure.on,3282.399745927105
hungary.tuesday,3281.4013286361806
questions.multiple,3280.746618901526
campus.students,3279.5943606591172
ground.south,3276.6869504840624
june.under,3275.1358483655504
situation.sufian,3268.5124773293014
"7,797",3259.736474707263
"200,000.in",3257.2491399110077
disciplined.thursdayâ_x0080__x0099_s,3003.194302530395
communityâ_x0080__x009d_.congresswoman,2938.7528969537484
ceasefire-for-hostage-release,2854.6408709585676
seven-and-a-half,2849.427846540284
year-and-a-half,2811.5709410641975
"77,908",2811.0224322465065
"71,700",2808.252580132727
two-and-a-half,2806.8565629120794
classroom-turned-bedroom,2738.839383344883
blue-and-white,2737.8409660539587
under-secretary-general,2737.0412793877235
"77,900",2730.9199562736467
three-hour-long,2730.074200795205
happy-go-lucky,2726.358239934011
as-yet-unspecified,2724.8071378154987
"1,300-strong",2720.7881281079326
come-to-jesus,2717.287374395393
daughter-in-law,2717.185349488326
round-the-world,2714.3799642203385
four-month-old,2712.4709713362076
four-year-old,2709.010876333565
tried-and-trusted,2708.1144839497074
out-of-date,2706.2054910655775
up-to-date,2703.4001057975897
"7,700",2665.480133406076
counter-insurgency,2634.880058533196
portuguese-flagged,2632.470196865895
burned-out,2627.761137903222
build-up,2625.8521450190915
labour-run,2625.8521450190915
built-up,2625.8521450190915
counter-argument,2625.707168087511
burnt-out,2623.0467597511038
duty-bound,2623.0467597511038
uk-funded,2616.534277641826
resolution.explaining,2616.0518942908216
judiciary-run,2613.473026515287
us-supplied,2611.819899489707
us-funded,2611.819899489707
four-minute,2611.819899489707
pull-out,2609.9109066055767
student-run,2609.0145142217193
â_x0082_¬13.7m,2606.5709826251536
run-up,2604.300136069601
un-run,2604.300136069601
unrwa-run,2604.300136069601
festival.pro-palestine,2579.1563197235605
service.al-najjar,2578.0040614811523
share-ability.he,2570.7842137025223
al-balah.the,2568.8752208183914
self-defence.hamas,2568.0755341521567
october.pro-israel,2563.608157838686
al-balah.israel,2563.506132931619
self-defence.mr,2559.901060997396
ransacked.right-wing,2555.8413925799327
dropped.co-leader,2549.575912309302
north-west.they,2549.232204753032
al-shifa.hamas,2545.414218984771
17-year-long,2543.9616599959186
unsuccessfully,2541.390859341183
17-year-old,2541.156274727931
camps.pro-palestinian,2540.1471560050654
unsuccessful,2538.585474073195
co-operation.a,2537.3417707370777
al-jamal.his,2537.2397458300106
it.far-right,2537.2397458300106
al-fayad.senior,2533.7796508273677
unambiguous,2531.46655344322
â£11.7m,2529.2132645564643
unusually,2515.5253150297062
unusual,2512.7199297617185
survival.the,2511.048201786207
november.about,2509.133441554612
unacceptable.baillie,2507.467229078097
survival.it,2498.159350479328
governorate.but,2493.1922031410977
government.but,2493.1922031410977
celebrities.but,2492.683568096436
campus.however,2488.987557792054
beirut.virgin,2488.47782498898
74-year-old,2488.3930572511836
47-year-old,2488.3930572511836
however.hours,2487.989140501129
volunteers.the,2487.3344307664743
supplies.however,2487.3344307664743
rubble.the,2486.970772653393
coverage.during,2486.4238551732687
neighbourhood.the,2484.5730952814124
beach.authorities,2482.766127304349
found.however,2482.6200526143566
services.unrwa,2480.8130846372933
evacuate.most,2480.8130846372933
october.about,2480.4494265242115
camp.dubbed,2480.4494265242115
university.the,2479.814667346369
january.however,2479.814667346369
vowed.jerusalem,2479.159957611714
bbc.during,2478.540433640081
investigators.south,2477.905674462238
breakthrough.as,2476.3986221266514
neighbourhoods.one,2476.3986221266514
edinburgh.the,2476.3986221266514
crowd.previous,2476.098706485175
disturbances.the,2474.5916541495885
consequences.the,2474.4466772180076
operation.previously,2474.4455794595956
evening.around,2474.4455794595956
proceedings.councillors,2474.4324940086594
statement.republican,2473.936944414934
headscarf.but,2472.682661265458
public.the,2472.682661265458
overdue.mr,2471.640194191608
bank.about,2471.276536078526
ruling.gabrielle,2471.271216889081
burning.graphic,2470.7736683813273
value.on,2469.7312013074775
facebook.us,2469.2225662628157
colleagues.their,2468.9755644241673
ambush.the,2468.8788587065455
february.he,2468.2241489718913
support.l3,2468.213722332055
months.club,2467.96828311334
countries.french,2467.823306181759
vigils.tarqumiya,2467.822208423347
police.council,2466.9127305885536
building.the,2466.3151560877604
building.he,2466.3151560877604
century.ceremonies,2466.2722040632475
holocaust.france,2465.9143132976287
there.but,2465.4187637039036
harazeen.but,2465.4187637039036
wednesday.northumbria,2465.418763703903
businessman.the,2465.418763703903
azerbaijan.authorities,2465.418763703903
concerns.hundreds,2465.0179209137714
release.but,2464.764053969249
february.despite,2464.764053969249
republican.ms,2464.5081881106976
79-year-old,2463.8236508688524
hostages.but,2463.5097708197727
burning.the,2463.5097708197727
burials.the,2463.5097708197727
complete.hundreds,2463.3647938881923
council.the,2463.108928029641
fuels.book,2462.855061085118
permanent.councillors,2462.4542182949863
budapest.despite,2461.958668701261
borders.european,2461.958668701261
back.saturday,2461.70280284271
comments.but,2461.70280284271
consequences.mr,2461.557825911129
legislation.though,2461.3537760969944
buildings.israel,2460.9460682009876
bulgaria.later,2460.9460682009876
others.but,2460.704385551785
prosecute.the,2460.5594086202045
freed.but,2460.0496758171303
began.under,2460.0496758171303
warehouses.the,2459.5609913292797
ground.both,2458.795392667655
unclear.the,2458.650415736074
authorities.france,2458.650415736074
resignation.labour,2458.1406829330003
included.seeing,2457.9957060014194
president.but,2457.244290549143
statement.about,2457.244290549143
streets.but,2457.244290549143
successor.tens,2456.8434477590113
north.but,2455.990007399667
month.but,2455.990007399667
announced.the,2455.8450304680864
picture.she,2455.8450304680864
countries.the,2455.8450304680864
prosecutor.he,2455.8450304680864
continued.the,2455.8450304680864
27-year-old,2455.3551423079425
rebuild.on,2455.3352976650126
reply.but,2455.3352976650126
house.the,2454.8466131771615
authorities.the,2454.8466131771615
thursday.greek,2454.191903442507
jerusalem.he,2454.191903442507
surgeries.the,2454.191903442507
headquarters.after,2454.191903442507
gaza.scuffles,2454.1777202331587
hours.police,2453.936037583956
israel.much,2453.936037583956
match.uefa,2453.936037583956
children.un,2453.936037583956
earlier.eugenia,2453.5371937078526
building.a,2453.4263047808818
hostages.south,2452.937620293031
halted.south,2452.937620293031
protests.but,2452.5299123970244
operation.but,2452.5299123970244
area.but,2452.5299123970244
media.but,2452.5299123970244
orders.but,2452.5299123970244
system.but,2452.5299123970244
added.but,2452.5299123970244
centres.uk,2452.384935465444
guards.meanwhile,2452.2829105583764
unfolded.the,2452.2829105583764
country.since,2452.1290696068927
recounts.across,2452.1290696068927
outside.there,2451.386518174519
pressure.those,2451.386518174519
pressure.the,2451.386518174519
injuries.there,2451.386518174519
office.supporting,2451.372334965171
"75,815",2451.3498086782556
continuity.they,2451.1306523159683
compound.the,2451.1306523159683
outcry.the,2451.1306523159683
court.the,2451.1306523159683
campus.the,2451.1306523159683
burns.msf,2450.620919512894
ago.but,2450.620919512894
spiral.but,2450.620919512894
gaza.but,2450.620919512894
announcement.if,2450.4759425813136
casualties.tensions,2450.4759425813136
gaza.communications,2450.2200767227623
south.the,2450.1322350250434
thursday.the,2450.1322350250434
hamas.hundreds,2450.1322350250434
hours.the,2450.1322350250434
hours.others,2450.1322350250434
ruled.rather,2449.4775252903887
surgeon.the,2449.4775252903887
questioning.he,2449.4775252903887
argument.the,2449.4775252903887
tunnels.she,2449.4775252903887
supplies.the,2449.4775252903887
south.newsonline,2449.4775252903887
authorities.egypt,2449.4775252903887
eugenia.israel,2448.822815555734
prosecution.millions,2448.5669496971827
wants.but,2447.8155342449063
points.but,2447.8155342449063
aid.but,2447.8155342449063
way.but,2447.8155342449063
strip.about,2447.8155342449063
ministry.about,2447.8155342449063
said.but,2447.8155342449063
war.but,2447.8155342449063
says.but,2447.8155342449063
flag.funeral,2447.810215055461
countries.prime,2447.6705573133254
operation.pictures,2447.6705573133254
rescued.in,2447.6705573133254
night.judge,2447.5685324062583
shoulder.only,2447.5685324062583
rulings.the,2447.5685324062583
icc.us,2447.4146914547746
outside.the,2446.672140022401
surprise.the,2446.672140022401
summer.the,2446.672140022401
rouen.the,2446.672140022401
used.the,2446.672140022401
route.the,2446.672140022401
return.the,2446.672140022401
outside.they,2446.672140022401
tuesday.others,2446.672140022401
authorities.more,2446.672140022401
out.there,2446.672140022401
amputated.the,2446.672140022401
students.the,2446.672140022401
minutes.the,2446.672140022401
tuesday.the,2446.672140022401
minutes.when,2446.672140022401
wounded.the,2446.672140022401
injuries.the,2446.672140022401
question.the,2446.672140022401
instructors.this,2446.4162741638497
action.south,2446.4162741638497
pressure.israeli,2446.0174302877463
tournament.earlier,2446.0174302877463
lauder.eddie,2446.0174302877463
peninsula.residents,2446.0174302877463
turkey.egypt,2446.0174302877463
jerusalem.ten,2446.0174302877463
forum.since,2445.761564429195
captured.for,2445.761564429195
partner.ucla,2445.761564429195
damascus.israel,2445.761564429195
group.he,2444.76314713827
funds.they,2444.76314713827
groups.the,2444.76314713827
guards.he,2444.76314713827
fund.they,2444.76314713827
assault.the,2444.76314713827
death.during,2444.76314713827
mural.she,2444.76314713827
ground.the,2444.76314713827
75-year-old,2444.2894635044217
57-year-old,2444.2894635044217
gunfire.one,2444.108437403616
refuge.on,2444.108437403616
israel.judge,2444.108437403616
population.earlier,2444.108437403616
week.us,2443.2120450197585
countries.mr,2442.9561791612073
continued.mr,2442.9561791612073
stadium.decisions,2442.9561791612073
production.dozens,2442.9561791612073
continues.a,2442.9561791612073
rafah.uganda,2442.85415425414
sunday.ayatollah,2442.85415425414
regulator.of,2442.1994445194855
operation.south,2441.957761870283
january.the,2441.957761870283
added.human,2441.957761870283
netanyahu.mr,2441.957761870283
un.the,2441.957761870283
authorities.at,2441.957761870283
squad.the,2441.957761870283
house.a,2441.957761870283
demand.without,2441.957761870283
sunday.the,2441.957761870283
saturday.the,2441.957761870283
june.with,2441.957761870283
power.ultimate,2441.303052135628
nuseirat.israeli,2441.303052135628
resolution.some,2441.303052135628
ukraine.last,2441.303052135628
friday.south,2440.0487689861525
military.hours,2440.0487689861525
hospital.us,2440.0487689861525
population.this,2440.0487689861525
negotiator.until,2439.3940592514978
media.portugal,2439.3940592514978
palestinians.during,2439.3940592514978
guards.israel,2439.3940592514978
route.family,2439.3940592514978
negotiations.during,2439.3940592514978
guards.later,2439.3940592514978
solution.israel,2439.3940592514978
assault.israeli,2439.3940592514978
funeral.a,2439.3940592514978
journalists.israel,2439.3940592514978
state.supporters,2438.4976668676404
protest.students,2438.4976668676404
mattresses.just,2438.4976668676404
equipment.it,2438.4976668676404
uk.one,2438.4976668676404
questioned.in,2438.4976668676404
pressure.in,2438.4976668676404
said.usc,2438.241801009089
cut.now,2438.241801009089
injury.glasgow,2437.4850663673674
saturday.his,2437.2433837181648
south.an,2437.2433837181648
injury.with,2437.2433837181648
hamas.us,2437.2433837181648
torture.for,2436.58867398351
lawyers.us,2436.58867398351
gratitude.a,2436.58867398351
june.world,2436.58867398351
judges.it,2436.58867398351
april.uk,2436.58867398351
result.at,2436.58867398351
out.later,2436.58867398351
un.egypt,2436.58867398351
argue.so,2436.58867398351
deal.just,2436.58867398351
groups.one,2436.58867398351
institutions.all,2434.6796810993796
gaza.four,2434.6796810993796
ruling.in,2434.6796810993796
injuries.and,2433.7832887155223
june.in,2433.7832887155223
tuesday.on,2433.7832887155223
said.rouen,2433.7832887155223
outside.as,2433.7832887155223
out.more,2433.7832887155223
territory.us,2433.7832887155223
quarters.dr,2433.7832887155223
summer.a,2433.7832887155223
tuesday.it,2433.7832887155223
union.some,2433.7832887155223
out.one,2433.7832887155223
us.some,2433.7832887155223
may.suze,2433.7832887155223
january.some,2433.7832887155223
injuries.it,2433.7832887155223
tuesday.sam,2433.7832887155223
added.unrwa,2433.7832887155223
group.mr,2431.8742958313915
situation.last,2431.8742958313915
